RUN,CNTs,RA,water,SP,Comp Strength 1 (N/mm2) 
1,0.002,3.277,1.435,0.045,17
2,0.003,0.936,1.435,0.015,21.44444444
3,0.003,3.277,1.435,0.03,18.4
4,0.002,3.277,1.662,0.03,18.31111111
5,0.003,3.277,1.662,0.015,20.44444444
6,0.003,5.618,1.209,0.03,23.55555556
7,0.005,5.618,1.435,0.03,19.11111111
8,0.005,0.936,1.435,0.03,15.68888889
9,0.003,0.936,1.662,0.03,11.62222222
10,0.002,0.936,1.435,0.03,10.97777778
11,0.003,5.618,1.435,0.015,22.24444444
12,0.005,3.277,1.435,0.015,17.77777778
13,0.005,3.277,1.435,0.045,13.68888889
14,0.002,3.277,1.209,0.03,22
15,0.002,5.618,1.435,0.03,14.08888889
16,0.003,3.277,1.435,0.03,17.08888889
17,0.003,3.277,1.209,0.045,12.77777778
18,0.005,3.277,1.209,0.03,13.02222222
19,0.002,3.277,1.435,0.015,21.95555556
20,0.003,3.277,1.662,0.045,13.33333333
21,0.003,5.618,1.662,0.03,15.91111111
22,0.003,0.936,1.435,0.045,16.08888889
23,0.005,3.277,1.662,0.03,9.866666667
24,0.003,0.936,1.209,0.03,12.31111111
25,0.003,3.277,1.435,0.03,14.26666667
26,0.003,3.277,1.209,0.015,12.84444444
27,0.003,5.618,1.435,0.045,11.51111111
,,,,,
